title,artist,link
Untitled - Old Woman (1965-1966),Norman Orr,___/record/99406?highlight=*:*
Valerie (Circa 1987),Renny Tait,___/record/20752?highlight=*:*
Unknown (1947),Anne Anderson,___/record/50529?highlight=*:*
Composition with Design Scratched in Plaster (1974),Margaret S. Clyde,___/record/122912?highlight=*:*
Rainman/Air Boys (2003),John Schulz,___/record/99931?highlight=*:*
Nabucco (1983),Boris Bućan,___/record/22031?highlight=*:*
For Peter (JUN 2002),Jeremy Mitchell,___/record/21845?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20719?highlight=*:*
Drawing of a Seated Woman (1958),Jacqueline A N Stieger,___/record/20787?highlight=*:*
Castor and Pollux (1835),Sarti,___/record/20593?highlight=*:*
Angel with Candelabrum (facing left),Unknown,___/record/20543?highlight=*:*
Untitled (1971),Ian Haycox,___/record/21836?highlight=*:*
Nude and Kettle (1976),Fionna E. Carlisle,___/record/22558?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,___/record/21436?highlight=*:*
Gem cabinet 6 (of 6) containing 43 medallions (Unknown),Unknown,___/record/20620?highlight=*:*
Saucer,Emma Gillies,___/record/53626?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,___/record/22552?highlight=*:*
Untitled,Shirley Brown,___/record/22518?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,___/record/22563?highlight=*:*
Self-Portrait (Unknown),Justine Blair,___/record/21727?highlight=*:*
Sgraffito Wares I (Circa 1994),Lisa Ward,___/record/122792?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,___/record/21264?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,___/record/21140?highlight=*:*
Emerging (1987),Paul Furneaux,___/record/111442?highlight=*:*
Untitled (1962),Cant,___/record/21763?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,___/record/100011?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,___/record/99364?highlight=*:*
Portrait of a Woman (1958),Andrew Smith,___/record/21148?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,___/record/20574?highlight=*:*
Antique Life drawing - 3rd Year (1962),Kathleen Russell,___/record/99520?highlight=*:*
Untitled (1963),Ruth Walker,___/record/22023?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,___/record/20868?highlight=*:*
Young Boy (1963),Roger Cameron,___/record/21265?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,___/record/21064?highlight=*:*
Nugget (2013),Charlotte Roseberry,___/record/21301?highlight=*:*
Untitled (MAR 1962),Irene Thomson,___/record/22015?highlight=*:*
'Gordini' Fairground Ride,Hazel Walker,___/record/21508?highlight=*:*
Portrait of a Man Seated (1959),C Byron,___/record/20914?highlight=*:*
Still Life with Net and Burning Candle (Circa 1987),Donald Clark,___/record/22528?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,___/record/21248?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,___/record/99371?highlight=*:*
Idolino,Unknown,___/record/20576?highlight=*:*
Unknown,Unknown,___/record/50433?highlight=*:*
Gem cabinet 3 (of 6) containing 43 medallions (Unknown),Unknown,___/record/20617?highlight=*:*
Scissors,Jayne Stokes,___/record/22615?highlight=*:*
Nude Female in Studio (1967),Sylvia M. R. Cameron,___/record/122909?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,___/record/21180?highlight=*:*
Unknown (1949),T. A. Sutter Watt,___/record/50456?highlight=*:*
Nikola Subić Zrinjski (1983),Boris Bućan,___/record/22033?highlight=*:*
Unknown (1989),Joanne Leonie Milne,___/record/123511?highlight=*:*
Saucer,Emma Gillies,___/record/53628?highlight=*:*
Traviata (Unknown),Boris Bućan,___/record/22470?highlight=*:*
Jug (1920s),Emma Gillies,___/record/122541?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,___/record/21785?highlight=*:*
Marshal from the East Frieze of the Parthenon (1836-1837),NA,___/record/20679?highlight=*:*
135 (2015),Mark Osborne,___/record/53775?highlight=*:*
Head (1987),Janice McNab,___/record/22685?highlight=*:*
Seated Male Nude (1959),Ronald G Browne,___/record/21156?highlight=*:*
The Ruins (1948),James W. H. Cumming,___/record/122793?highlight=*:*
Nudes on the Beach (1953),Moira E. Brown,___/record/122830?highlight=*:*
Figures in an Interior,Henry Rogers,___/record/21491?highlight=*:*
Silhouetted Head,Leslie C. McConnell,___/record/122920?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,___/record/20876?highlight=*:*
Kitchen Interior,Ruth Walker,___/record/122896?highlight=*:*
Cape May (1983),G.M. L.,___/record/21975?highlight=*:*
Self Portrait in White Apron,Unknown,___/record/22600?highlight=*:*
Chinese sleeveband. waves,Unknown,___/record/102703?highlight=*:*
Landscape (1957),Sheena McEwan,___/record/21010?highlight=*:*
A Red Made For R.M Rilke (2006),Catlin Dalton,___/record/99884?highlight=*:*
Side Plate,Emma Gillies,___/record/53612?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,___/record/99447?highlight=*:*
Portrait of a Woman (1966),Isobel T Johnstone,___/record/21404?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53686?highlight=*:*
Harbour at Night,Derek McGuire,___/record/21511?highlight=*:*
Untitled (2006),Daisy Richardson,___/record/99866?highlight=*:*
Portrait of a Woman (1963),Roger Cameron,___/record/21319?highlight=*:*
Sampler (1932),Patty Mitchell,___/record/100013?highlight=*:*
Unknown,Unknown,___/record/50450?highlight=*:*
Three Views of a Seated Female Nude (1959),William Mackay,___/record/21163?highlight=*:*
Portrait of a Man (1939-1940),Robert A Campbell,___/record/21127?highlight=*:*
Fancy Pipe (2006),Michael Hecht,___/record/99882?highlight=*:*
Unknown,Unknown,___/record/53511?highlight=*:*
Jockeys,Alexander S Campbell,___/record/122845?highlight=*:*
Untitled (1962),Paresh C. Chakraborty,___/record/112307?highlight=*:*
My Boots Are Wet from the grass (2006),Becky Campbell,___/record/99962?highlight=*:*
Untitled (1967),Gwen Mackenzie,___/record/111034?highlight=*:*
The Judgement of Paris (1959),Kenneth Dingwall,___/record/22713?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,___/record/99395?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,___/record/113777?highlight=*:*
Sitting Nude Woman (1978),Jill R. Penman,___/record/122716?highlight=*:*
Female Model with Mirror (1962),Helen G. S Forde,___/record/122864?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,___/record/99414?highlight=*:*
Queen Anne chair cover (1700-1750),Unknown,___/record/102711?highlight=*:*
Unknown (Circa 1890),Unknown,___/record/50465?highlight=*:*
Tapestry fragment,Unknown,___/record/102673?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,___/record/21398?highlight=*:*
Teacup,Emma Gillies,___/record/53640?highlight=*:*
Untitled (Unknown),A. Geraldine Gowan,___/record/21580?highlight=*:*
Side Plate,Emma Gillies,___/record/53611?highlight=*:*
Memory and Process (2015),Callum Watson,___/record/53779?highlight=*:*
The Misadventure (1989),John Brown,___/record/21575?highlight=*:*
Two Men on a Train (12 JUN 1948),Marjorie Wallace,___/record/20856?highlight=*:*
Two Farmers in the Field (1951),James P W Syme,___/record/21262?highlight=*:*
Unknown (1949),Betty Elston,___/record/50582?highlight=*:*
Earth II,Garry Marshall,___/record/122723?highlight=*:*
Untitled,Peter Pretsell,___/record/99795?highlight=*:*
Untitled,Unknown,___/record/102678?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,___/record/50445?highlight=*:*
Untitled (Unknown),Unknown,___/record/99918?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,___/record/20932?highlight=*:*
Crow in Black Spectacles,Michael Orthenstein,___/record/122251?highlight=*:*
Standing Boxer (1964),John Bellany,___/record/20778?highlight=*:*
Matthew (1989),Janie Nichol,___/record/50414?highlight=*:*
Unknown (1946),William G. Craig,___/record/50510?highlight=*:*
House and Figures in a Landscape,Judith A. Heller,___/record/22578?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,___/record/21613?highlight=*:*
Opera - Vienna (1963-1964),Leslie Allan,___/record/99384?highlight=*:*
Untitled (Mar 1963),John Bellany,___/record/21535?highlight=*:*
Unknown (Circa 1984),Malcolm Clark,___/record/50413?highlight=*:*
Untitled,Unknown,___/record/102695?highlight=*:*
Standing Female Nude (1952),Mollie E N Langlands,___/record/21020?highlight=*:*
Composition with Photo Screenprints of a Dead Rabbit (1972),Brent D. Millar,___/record/22572?highlight=*:*
Untitled (2002),Lisa Flett,___/record/99926?highlight=*:*
Still Life,Gavin Robson,___/record/122713?highlight=*:*
Still Life Apples (1953),D. Gordon Campbell,___/record/22674?highlight=*:*
Snowy Landscape (1962),Geoffrey J Roper,___/record/99368?highlight=*:*
Crucifixion (1952),John Picking,___/record/122709?highlight=*:*
Leith Docks,David McClure,___/record/122725?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20729?highlight=*:*
Untitled (1960),Kathleen Russell,___/record/99522?highlight=*:*
Unknown,Unknown,___/record/53512?highlight=*:*
Unknown,Unknown,___/record/53510?highlight=*:*
Portrait with a Beret (1986),Charles P. Stiven,___/record/21437?highlight=*:*
Man and Basket (1950),Alfred Hackney,___/record/21030?highlight=*:*
Self Portrait (1975),Ruth S. Stiven,___/record/122889?highlight=*:*
Offstage (1957),Alexander S Campbell,___/record/123105?highlight=*:*
Untitled (1962),Kathleen Russell,___/record/99521?highlight=*:*
Untitled (Unknown),Unknown,___/record/21616?highlight=*:*
Seated Figure in Striped Top (Circa 1981),Alastair R. W. Hearsum,___/record/22527?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,___/record/21194?highlight=*:*
Untitled (1987),Susan Veitch,___/record/21898?highlight=*:*
The Etiquette of Landscape and Face: Passage 2 (2015),Leonie Neuweger,___/record/53782?highlight=*:*
Spring Board (Circa 1971),Alan Brown,___/record/22584?highlight=*:*
Untitled (Unknown),Paul Gladston,___/record/21729?highlight=*:*
Standing Female Nude (1959),R G Browne,___/record/20953?highlight=*:*
Portrait of a Woman (1957),Ruth Illingworth,___/record/21007?highlight=*:*
Untitled (Unknown),Unknown,___/record/21555?highlight=*:*
Untitled (1960),Robert L Snowden,___/record/21542?highlight=*:*
Two Men in an Interior (1989),Sean H. Watson,___/record/22646?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,___/record/21287?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,___/record/99430?highlight=*:*
Siena (1956),John P Busby,___/record/21379?highlight=*:*
Portrait of a Woman (1957),Peter McGinn,___/record/21086?highlight=*:*
Nude Woman Standing (1961),Rose A. K. Forsyth,___/record/122826?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,___/record/21055?highlight=*:*
Horse (1920s),Emma Gillies,___/record/53750?highlight=*:*
Giraffe (1920s),Emma Gillies,___/record/53749?highlight=*:*
Aix: Moroccan Women (1955),Margaret Proudfoot,___/record/21031?highlight=*:*
Unknown (1968),Kenneth R Duffy,___/record/99515?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,___/record/21931?highlight=*:*
Standing Male Nude (1952),David Michie,___/record/21386?highlight=*:*
Unknown (1964),Eleanor Maiden,___/record/53584?highlight=*:*
Multicoloured Geometric (1971),Jim Hickey,___/record/22602?highlight=*:*
Landscape with Orchards (1955),Margaret Proudfoot,___/record/21033?highlight=*:*
Still Life with Guitar (1962),John Picking,___/record/22702?highlight=*:*
Needlebook,Winsome Douglass,___/record/113830?highlight=*:*
Portrait of a Woman (Circa 1939),Ian R McRobbie,___/record/21138?highlight=*:*
Preparatory Sketch (1962),John Picking,___/record/50528?highlight=*:*
Untitled (2002),Lisa Flett,___/record/99935?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,___/record/99336?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,___/record/50472?highlight=*:*
View from a Window,Sylvia Mackiewicz,___/record/21453?highlight=*:*
Busmen Newhaven (1960-1964),Irene Thomson,___/record/21901?highlight=*:*
Unknown (1949),Mary D Thomson,___/record/50453?highlight=*:*
Suit of Armour (Circa 1964),Kirkland Main,___/record/21170?highlight=*:*
Country Lane (1959),Jacqueline A N Stieger,___/record/20821?highlight=*:*
Portrait of a Woman (1954),D Stewart Lowdon,___/record/21214?highlight=*:*
Untitled (2002),Elizabeth Shepherd,___/record/99947?highlight=*:*
Demolished Building,Keith Thomson,___/record/21464?highlight=*:*
Self (1964),Senga Guthrie,___/record/53593?highlight=*:*
Untitled (1946),Esther W. Hamilton,___/record/21730?highlight=*:*
Unknown (1973),David Hogg,___/record/53601?highlight=*:*
Untitled (1967),Sylvia M. R. Cameron,___/record/112303?highlight=*:*
Virgin and Child (Unknown),Unknown,___/record/20571?highlight=*:*
Seated Female Nude (21 NOV 1957),Sheena McEwan,___/record/20900?highlight=*:*
Nighttime Scene of the City and River (1962),Geoffrey J Roper,___/record/99370?highlight=*:*
Unknown (1955),Rosemary Gray,___/record/53483?highlight=*:*
Peacock (Undated but found amongst ECA artworks from 1960s.),Carol Handyside,___/record/21288?highlight=*:*
Untitled,Mary McKay,___/record/112445?highlight=*:*
Portrait of a Woman (1953),Lilias Stirling,___/record/22677?highlight=*:*
Portrait of Sleeping Woman (1957),Sheena McEwan,___/record/21009?highlight=*:*
Figures in a Street with Flags (1952),William I. Millan,___/record/122883?highlight=*:*
Seed and the Rock (1953),Gabor Peterdi,___/record/21659?highlight=*:*
Untitled,Peter Pretsell,___/record/99793?highlight=*:*
Reclining Female Nude (1959),Jean I. Beattie,___/record/20922?highlight=*:*
Untitled (Unknown),Paul Furneaux,___/record/21780?highlight=*:*
"Lloret de Mar, Costa Brava (1958)",Joan F. Biggins,___/record/50613?highlight=*:*
Cast Study of Dead Christ from Michelangelo's 'Pieta',Leonard I. H. Gray,___/record/53485?highlight=*:*
Profile of Standing Male Nude with Staff,Alastair Fairweather,___/record/50425?highlight=*:*
Standing Female Nude (1957),Morag Cuthbertson,___/record/20965?highlight=*:*
Untitled (1989),Jane R. Nicoll,___/record/22566?highlight=*:*
Reclining Nude,Doreen Taylor,___/record/122774?highlight=*:*
Unknown,Ian Paterson,___/record/53548?highlight=*:*
Unknown,Unknown,___/record/53551?highlight=*:*
untitled (1961),James T Carlyle,___/record/21760?highlight=*:*
Untitled (1963),Leslie Allan,___/record/99383?highlight=*:*
Nude (1950),Allan Carr,___/record/110955?highlight=*:*
Portrait of a Bearded Man (07 DEC 1954),James Lennox,___/record/21192?highlight=*:*
Portrait of a Woman (1960),Elise Brown,___/record/20976?highlight=*:*
Ples (1983),Boris Bućan,___/record/22472?highlight=*:*
Standing Male Nude (1959),Lys Hansen,___/record/20955?highlight=*:*
Untitled - Nude Female Lying on a Patterned Bed (1967),Kevin Maguire,___/record/99358?highlight=*:*
Portrait of Woman with Hand on her Head (1950),Ailsa Robertson,___/record/20803?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53706?highlight=*:*
Untitled (Unknown),Unknown,___/record/99959?highlight=*:*
Cantilever Ring (2013),Sally Morrison,___/record/21310?highlight=*:*
Street Scene with Cars (1965),Laura McPherson,___/record/99393?highlight=*:*
Landscape (1987),Brian Godley,___/record/112496?highlight=*:*
3.a Clarendon serif (1972),Anthony Benjamin,___/record/21670?highlight=*:*
Cow in Interior (1974),Brent Miller,___/record/21680?highlight=*:*
Standing Female Nude,Vincent Butler,___/record/21261?highlight=*:*
The Boston-Edinburgh Portfolio II (2006),Unknown,___/record/99855?highlight=*:*
Horses of Helios from East Pediment,NA,___/record/20635?highlight=*:*
Figure with Hanging Clothes (1971),Dorothy W. Baillie,___/record/22553?highlight=*:*
Standing Female Nude and Stool (1960s),Catherine Beanchop/ Banchop,___/record/21269?highlight=*:*
Idyll,Unknown,___/record/21200?highlight=*:*
Still Life Table (Circa 1965),Roy M. W. Cameron,___/record/22616?highlight=*:*
Untitled (Unknown),Unknown,___/record/21571?highlight=*:*
125 (2015),Mark Osborne,___/record/53772?highlight=*:*
Townscape with Mountains (1948),Mieczyslaw T. Janikowski,___/record/21422?highlight=*:*
Unknown (1949),Betty Elston,___/record/50584?highlight=*:*
Multicolour Abstract (1970),Christopher J. Allan,___/record/122873?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99803?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward,___/record/99337?highlight=*:*
Abstract (Unknown),Mark Harris,___/record/21660?highlight=*:*
Unknown (1950),James T. Ferguson,___/record/53500?highlight=*:*
Untitled - Life Drawing of Reclining Female in Dress (1962),Isobel T Johnstone,___/record/99251?highlight=*:*
Untitled - Greenhouse (1965-1966),James B. Thomson,___/record/99448?highlight=*:*
Untitled (1995-1996),Arabella Harvey,___/record/21722?highlight=*:*
Three Standing Female Nudes (1957),Andrew Conkie,___/record/20926?highlight=*:*
In''Head (1973),Catherine Freeland,___/record/112355?highlight=*:*
Unknown,Unknown,___/record/53504?highlight=*:*
Untitled (Unknown),Anna Richardson,___/record/21937?highlight=*:*
Design folio (1961),Sheila Flinn,___/record/102686?highlight=*:*
Untitled,Unknown,___/record/99919?highlight=*:*
Urban Scene,Paul J Donaldson,___/record/21446?highlight=*:*
Playground (1989),Linda Gilliard,___/record/22634?highlight=*:*
Yellow Abstract with Half People,Jim Mooney,___/record/22530?highlight=*:*
Portrait of a Man (1956),Unknown,___/record/21258?highlight=*:*
"Metope 7, from entablature of the Parthenon (1837)",NA,___/record/20642?highlight=*:*
Game Birds,George Glen,___/record/53607?highlight=*:*
Untitled (Unknown),[Unknown] Black,___/record/22022?highlight=*:*
Emerging (1987),Paul Furneaux,___/record/111441?highlight=*:*
Unknown,Unknown,___/record/50406?highlight=*:*
Radio Break (2006),Chris Nau,___/record/99879?highlight=*:*
"Mountains, Arran (Unknown)",Catherine Orbach,___/record/21968?highlight=*:*
Unknown (1950),Katherine B K Burns,___/record/50571?highlight=*:*
Untitled - Drawing in Profile of a Sitting Woman (1980),Carolyn S Byres,___/record/99425?highlight=*:*
Untitled (2006),Hannah Jasper,___/record/99856?highlight=*:*
Seated Female Nude at Washbasin (1946),Marjorie H. McLachlan,___/record/122790?highlight=*:*
Ashes and Diamonds (Unknown),David Freed,___/record/21654?highlight=*:*
Portrait of a Man,Robin E. Bownass,___/record/22669?highlight=*:*
"fig.1 Destination, fig 2 Time - 10.35 pm (1984)",Andrew Binnie,___/record/99466?highlight=*:*
Unknown (1950),Francis Curran,___/record/50506?highlight=*:*
"Metope 32, south entablature, Parthenon (1837)",NA,___/record/20646?highlight=*:*
Untitled (1966),Helen G. S Forde,___/record/99815?highlight=*:*
Plate (1920s),Emma Gillies,___/record/122128?highlight=*:*
Untitled (2007),Malin Johanson,___/record/99977?highlight=*:*
Standing Female Nude holding Basket (25 JAN 1959),Barbara Strachan,___/record/20871?highlight=*:*
Unknown (1952),Alastair Fairweather,___/record/50422?highlight=*:*
Self Portrait (1949),Alison E. H. Stuart,___/record/122762?highlight=*:*
Untitled (Unknown),David C Duke,___/record/21980?highlight=*:*
Reverse Reserve (1975),Gordon Mitchell,___/record/22522?highlight=*:*
Portrait of a Young Man (1950),Norman Nisbet,___/record/21074?highlight=*:*
Unknown (1963),Alexander Wilson,___/record/53592?highlight=*:*
Standing Female Nude (1958),Bertha Roxburgh,___/record/21150?highlight=*:*
Zane (2013),Isobel Turley,___/record/21303?highlight=*:*
Portrait of a Woman,Samuel John Peploe,___/record/53886?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,___/record/21932?highlight=*:*
Reclining Female Nude (1958),Dorothy Durward,___/record/21142?highlight=*:*
Unknown (Unknown),Unknown,___/record/21547?highlight=*:*
Hand Thrown Pot (1920s),Emma Gillies,___/record/53734?highlight=*:*
Unknown,Muriel Davidson,___/record/53474?highlight=*:*
Untitled (2007),Emma Peacock,___/record/99889?highlight=*:*
Untitled - Portrait of an Old Man (Feb 1962),William Gillon,___/record/99480?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne,___/record/21139?highlight=*:*
Study for Composition (1949),Alistair Smart,___/record/50477?highlight=*:*
Blue Altarpiece (Circa 1952),Mollie E N Langlands,___/record/21016?highlight=*:*
Reclining Nude (1953),Laura Nye,___/record/21118?highlight=*:*
Unknown,Unknown,___/record/50393?highlight=*:*
"Marché, rue Mouffetard (1963)",Ann F Ward,___/record/99341?highlight=*:*
Broderie Anglais jacket,Unknown,___/record/102664?highlight=*:*
Four Portraits of a Bearded Man (1955),Peter McGinn,___/record/21088?highlight=*:*
A Good Dream and a Bad Dream (1970),John Mooney,___/record/20755?highlight=*:*
19th century handkerchief (1800-1899),Unknown,___/record/102683?highlight=*:*
"Commercial Street, Leith (JAN 1950)",John W. Corner,___/record/50515?highlight=*:*
November III (St Andrews) (1991),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/54749?highlight=*:*
Unknown (1950),Zygmunt Bukowski,___/record/53554?highlight=*:*
Unknown (1947),Mabel D. Lawford,___/record/50536?highlight=*:*
Untitled - Two Birds (1963),Norman Thom,___/record/99417?highlight=*:*
Reclining Female Nude (1954),Margaret Proudfoot,___/record/21260?highlight=*:*
Untitled (1966),Norman Orr,___/record/22479?highlight=*:*
Cantoria (front),Unknown,___/record/20579?highlight=*:*
Blue Mood (1986),Paul Furneaux,___/record/21576?highlight=*:*
Unknown (1960),George H McIntosh,___/record/53578?highlight=*:*
Lid (1920s),Emma Gillies,___/record/122077?highlight=*:*
In the Kitchen (1989),Robert Bushe,___/record/22608?highlight=*:*
The Boundary of Balance (2019),Dong Ding,___/record/113743?highlight=*:*
Made in Finland (2013),Tiina Lilja,___/record/47439?highlight=*:*
Cross Section (1987),Alastair Mack,___/record/21650?highlight=*:*
Unknown (Unknown),Victoria C F Bernie,___/record/21783?highlight=*:*
An Táin (1964),John B Vallely,___/record/21005?highlight=*:*
NO 6 (1952),Norman W. Anderson,___/record/50627?highlight=*:*
Large Still Life (Unknown),Sir William George Gillies,___/record/20744?highlight=*:*
Untitled (2007),Freya Cumming,___/record/99894?highlight=*:*
Standing Woman (1965),William Gillon,___/record/21315?highlight=*:*
Portrait of Woman (1951),Allan Carr,___/record/123112?highlight=*:*
People with a Horse (1983),Tina Lappinen-Ritchie,___/record/122699?highlight=*:*
Untitled (1963),Madelene Galloway,___/record/22005?highlight=*:*
Standing Male Nude (1958),Ian Hodkinson,___/record/20883?highlight=*:*
Untitled (Unknown),Unknown,___/record/21567?highlight=*:*
Saucer,Emma Gillies,___/record/53667?highlight=*:*
Nun with Two Workmen in a Country Landscape,Unknown,___/record/22557?highlight=*:*
Untitled (1983-1984),Moyna Flannigan,___/record/21915?highlight=*:*
Standing Female Nude (1958),Jacqueline A N Stieger,___/record/122776?highlight=*:*
Jalvation cocktail (Green) (2007),David Abbott,___/record/99888?highlight=*:*
Lid (1920s),Emma Gillies,___/record/122075?highlight=*:*
Landscape with City in background (1958-1959),Peter Standen,___/record/20793?highlight=*:*
Unknown (1965-1966),George Donald,___/record/50376?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,___/record/20697?highlight=*:*
Reclining goddesses from the Parthenon (east pediment) (Pre 1830),Westmacott,___/record/20631?highlight=*:*
Portrait of a Woman (1959),William D. MacKay,___/record/22715?highlight=*:*
Two Elements (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/54750?highlight=*:*
Unknown (1949),John Thomson,___/record/50483?highlight=*:*
Untitled (Mar 1949),Allan W. Robson,___/record/21743?highlight=*:*
Unknown (1989),Heather Macdonald,___/record/50428?highlight=*:*
Unknown,Jeffery Camp,___/record/50563?highlight=*:*
Male Nude in pose of Rodin's 'Thinker' (1957),Hylda M Sutcliffe,___/record/20830?highlight=*:*
Unknown (1950),Zygmunt Bukowski,___/record/53555?highlight=*:*
Industrial Landscape,Unknown,___/record/123292?highlight=*:*
Townscape in Snow (1980s),Paul Furneaux,___/record/21434?highlight=*:*
Untitled (1961),Norma Kirk,___/record/22010?highlight=*:*
Still Life with Green Boots and Knotted Rope (1987),Sheila Arnot,___/record/22543?highlight=*:*
Untitled (1960),Robert L Snowden,___/record/21543?highlight=*:*
Digging Peat (Circa 1952),Maureen Baird,___/record/122836?highlight=*:*
Unknown (1960),Alan M. Alexander,___/record/50595?highlight=*:*
Untitled (Unknown),Ross Thomson,___/record/21725?highlight=*:*
Old Waverley Hotel (1990),Kirsty E. Raitt,___/record/22587?highlight=*:*
Fragment of ornament (spandrel shape),Unknown,___/record/20565?highlight=*:*
Cow (1920s),Emma Gillies,___/record/53757?highlight=*:*
Damn blast and a side order of damn,Colin Montgomery,___/record/22545?highlight=*:*
Untitled (1969),Richard Easson,___/record/99832?highlight=*:*
Woman Seated on Sofa (May 1963),John Bellany,___/record/20779?highlight=*:*
Sean Connery as a Life Model (1952),Alastair Fairweather,___/record/22598?highlight=*:*
(n) (fr) Les Voyeurs (1984),David C Duke,___/record/99247?highlight=*:*
Untitled,NA,___/record/20661?highlight=*:*
Parc de Tuileries - Paris (1963),John Bellany,___/record/21533?highlight=*:*
"Metope 28, south entablature, Parthenon (1837)",NA,___/record/20647?highlight=*:*
Seated Woman (Circa 1961),Ann F Ward,___/record/21354?highlight=*:*
Black Nude,Ann Stout,___/record/122808?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53700?highlight=*:*
Santa Maria Della Salute,William Wilson,___/record/21652?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53683?highlight=*:*
Unknown (1963),James T Carlyle,___/record/50501?highlight=*:*
Patrick Nuttgens (recto) (1953),Llewella C. Brayne,___/record/22705?highlight=*:*
Untitled (1965),Peter Pretsell,___/record/99791?highlight=*:*
Dutch Street Scene (1930s),Katherine Ogilvy,___/record/122804?highlight=*:*
Untitled (1981),Sarah Robertson,___/record/21835?highlight=*:*
Portrait of a Man (1952),David Michie,___/record/21385?highlight=*:*
Portrait of a Seated Man,Finlay Purvis,___/record/21518?highlight=*:*
Unknown,Sean Byrne,___/record/53600?highlight=*:*
Wrap up (Unknown),George Donald,___/record/21825?highlight=*:*
Unknown (1960),Thora Clyne,___/record/50558?highlight=*:*
Unknown (Unknown),Unknown,___/record/21554?highlight=*:*
Teapot,Emma Gillies,___/record/53745?highlight=*:*
Unknown (Unknown),Unknown,___/record/21548?highlight=*:*
Untitled (Unknown),Unknown,___/record/21707?highlight=*:*
Unknown (1985),Donald Provan,___/record/50418?highlight=*:*
Unknown (1960),John Johnstone,___/record/53550?highlight=*:*
Crying (2014),Rachel Hill,___/record/47448?highlight=*:*
Life Painting,Elizabeth Blackadder,___/record/20754?highlight=*:*
Untitled,Joyce M Cumming,___/record/112356?highlight=*:*
Untitled - Girl with Crows (1961-1962),Gwendolene E Roger,___/record/99399?highlight=*:*
Anatomical figure of legs (Unknown),Unknown,___/record/20599?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,___/record/20664?highlight=*:*
Untitled (1962),Helen Wishart,___/record/21764?highlight=*:*
Snow Covered Landscape (Circa 1984),Sheila Arnot,___/record/21479?highlight=*:*
138 (2015),Mark Osborne,___/record/53773?highlight=*:*
Standing Female Nude (1959),Bruce Clapperton,___/record/20910?highlight=*:*
Unknown (1946),Norma Forrest,___/record/50590?highlight=*:*
Back of Standing Female Nude,Alastair Fairweather,___/record/50426?highlight=*:*
Goddess Nike unfastening her sandal (1984),Vincent Butler,___/record/20624?highlight=*:*
Tuscan Landscape (1956),Elizabeth Blackadder,___/record/99214?highlight=*:*
Of Christine Clay (1964),Connie Dearness,___/record/53583?highlight=*:*
Abstract Portrait of Two Figures (1953),Iain West,___/record/20850?highlight=*:*
