title,artist,link
Unknown,J Brown,___/record/53568?highlight=*:*
Flight Path No 1 (1977),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/19635?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,___/record/21407?highlight=*:*
Untitled (1964),Helen Cargill,___/record/22484?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,___/record/20749?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,___/record/20886?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,___/record/20696?highlight=*:*
Untitled (1962),Robert S. Crozier,___/record/112312?highlight=*:*
Unknown (1960),Robin E. Bownass,___/record/50606?highlight=*:*
Untitled (Purple) (2015),Phoebe Mitchell,___/record/53778?highlight=*:*
Abstract Pale Landscape,Laura Drever,___/record/22594?highlight=*:*
Seated Male Nude (1959),George MacIntosh,___/record/20884?highlight=*:*
Untitled,Unknown,___/record/99861?highlight=*:*
Portrait of an Old Man (1952),Frances Walker,___/record/20848?highlight=*:*
Unknown (1993),Rolandos Rimkunas,___/record/99851?highlight=*:*
Profile of a Woman (1963),Leon Francesco Morrocco,___/record/122974?highlight=*:*
Portrait of a Man,Eric Fleming,___/record/21521?highlight=*:*
Seated Female Nude (1963),William Gillon,___/record/21342?highlight=*:*
Unknown (NOV 1959),John Gilbert,___/record/53493?highlight=*:*
Picnic at the New Bridge (1963),Alexander Moffat,___/record/22473?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,___/record/22569?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell,___/record/21426?highlight=*:*
Unknown (1952),Maureen Baird,___/record/50623?highlight=*:*
Men at Work (1947-1948),Norma G Reid,___/record/20829?highlight=*:*
Untitled (2007),Jon McNaught,___/record/99890?highlight=*:*
Still Life with Teapot (1952),Mollie E N Langlands,___/record/22662?highlight=*:*
"Composition with Hieroglyphics, Signs and Symbols (Circa 1977)",Sally E. Oswald,___/record/22561?highlight=*:*
Portrait of a Man with Beard (18 JAN 1957),R Wright,___/record/20905?highlight=*:*
Untitled (DEC 1970),Kathryn M. Buchan,___/record/21869?highlight=*:*
Reclining Female Nude (1960),Jean Ritchie,___/record/20789?highlight=*:*
Untitled,Jean M. A. Conacher,___/record/112354?highlight=*:*
Portrait of a Woman (1957-1958),Hillary Lewis,___/record/21161?highlight=*:*
Untitled (1971),Alan Brown,___/record/22020?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20703?highlight=*:*
Three Men and a Snake (Unknown),Robert Rivers,___/record/21945?highlight=*:*
Untitled - Figures and Bicycles in the City (1965-1966),James B. Thomson,___/record/99450?highlight=*:*
La Messe de Minuit - Église St Eustache (1963),Ann F Ward,___/record/99342?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99810?highlight=*:*
Not For Gain (2016),Daisy Lafarge,___/record/99238?highlight=*:*
The Fruitstand (Unknown),Elizabeth Gourlay,___/record/21777?highlight=*:*
Seated Female Nude (1954),Ruth Illingworth,___/record/20935?highlight=*:*
Car Crash,Tim Stott,___/record/93373?highlight=*:*
